Smiles;Frequency;Percentage;MoleculeFrequency;MoleculePercentage
O=[cH2];4;0.010;4;0.10
C=CC=C;2;0.005;2;0.05
CCCC(C)C;2;0.005;2;0.05
c1ccc(cc1)ccc-c2ccccc2;1;0.003;1;0.03
*OCO[H];1;0.003;1;0.03
CCCCCC;1;0.003;1;0.03
c1ccc(cc1)C;2;0.005;2;0.05
*O*;17;0.044;11;0.28
CCCC1(C)CCCC(C)(C)C1CC;1;0.003;1;0.03
ccc1ccc2c(c1)C(C)CC2C;1;0.003;1;0.03
*OCO*;20;0.051;8;0.21
CCCCC1C(C)CCCC1(C)C;1;0.003;1;0.03
c1ccc(cc1)CC;2;0.005;2;0.05
[H]Oc;19;0.049;7;0.18
C1CCCCCCCCCCCCCC1;1;0.003;1;0.03
*OC(=O)C=C;1;0.003;1;0.03
*SC=CC(=O)N(*)CN(*)C(=O)C=CS*;1;0.003;1;0.03
CCCCCCCCC;1;0.003;1;0.03
N#C;1;0.003;1;0.03
CCC;7;0.018;6;0.15
*F;1;0.003;1;0.03
*S*;1;0.003;1;0.03
*N(*)C(=O)N(*)*;1;0.003;1;0.03
CCC(C)C1CCC(C)C1(C)CC;1;0.003;1;0.03
CCC(C)C(C)C(C)C;1;0.003;1;0.03
CCC1(C)CCC2(C)CCCC12C;1;0.003;1;0.03
c1ccc(cc1)-c2ccc(cc2)-c3ccccc3;1;0.003;1;0.03
c1cc(cc(c1)CCCCCCC)C;1;0.003;1;0.03
*OP(=O)(O*)O[H];2;0.005;1;0.03
*C(=O)C(=CO[H])C(*)=O;1;0.003;1;0.03
*C(=O)C=C;1;0.003;1;0.03
CC;7;0.018;5;0.13
[H]OC;85;0.219;17;0.44
*C(=O)N(*)C(*)=O;1;0.003;1;0.03
c;1;0.003;1;0.03
*N(*)*;5;0.013;4;0.10
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC;1;0.003;1;0.03
CCCCCCCCCCCCCCCCCCCCCCC;1;0.003;1;0.03
cc(c(c1cccc(c1)C)C)C;1;0.003;1;0.03
C=C;19;0.049;11;0.28
cccc;1;0.003;1;0.03
*ON(*)*;1;0.003;1;0.03
CCCCCCC(C)C(C)(C)CC;1;0.003;1;0.03
*OC=C;1;0.003;1;0.03
CC(C)C;1;0.003;1;0.03
CCC1C(C)CCCC1(C)C;1;0.003;1;0.03
CCCCCCCCCCCCCCCCCC;1;0.003;1;0.03
C1CCCCC1;2;0.005;1;0.03
ccc(c1cccc(c1)C)C;1;0.003;1;0.03
c1ccc2c(c1)CCC(C2)CC;1;0.003;1;0.03
C;49;0.126;22;0.56
*N(*)S(*)(=O)=O;1;0.003;1;0.03
CC(C)CCCC(C)C1CCC2(C)C3CCC4CCCCC4(C)C3CCC12C;1;0.003;1;0.03
CCCCCCCC;1;0.003;1;0.03
*C(*)=O;13;0.033;9;0.23
[H]OC(=O)C=C;1;0.003;1;0.03
CCC(C)C;2;0.005;2;0.05
CC1CCCC1C2CCC3CCCCC3(C)C2C;1;0.003;1;0.03
[H]OC(=O)C=CC=CC=CC=C;1;0.003;1;0.03
cccc(c)CC(C)CCCCCCCCCC;1;0.003;1;0.03
*N(*)C(=O)C=C;1;0.003;1;0.03
ccc(cc)c1ccccc1;1;0.003;1;0.03
*o*;5;0.013;5;0.13
c1ccccc1;9;0.023;6;0.15
*n(*)*;8;0.021;4;0.10
ccccc;1;0.003;1;0.03
c1cc(cc(c1)C)C;1;0.003;1;0.03
*OC(*)=O;15;0.039;9;0.23
*C(=O)N(*)*;8;0.021;6;0.15
CCCCC;17;0.044;9;0.23
ccc;1;0.003;1;0.03
*OC(=O)N(*)*;1;0.003;1;0.03
*OS(=O)(=O)O[H];1;0.003;1;0.03
c1ccc(cc1)CCc2ccccc2CC;1;0.003;1;0.03
CCCC;6;0.015;5;0.13
CCCC(C)CC(C)CCC;1;0.003;1;0.03
*s*;1;0.003;1;0.03
c1ccc(cc1)cc(c-c2ccccc2)CCCCCC;1;0.003;1;0.03
CC(CCC1(C)CCC(C)(C)CC1)C2(C)CCC3C(C)(C)CCCC3(C)C2C;1;0.003;1;0.03
c1ccc(cc1)CCCc2ccccc2;1;0.003;1;0.03
O=C;1;0.003;1;0.03
CCC(C)C1CCC(C)C1(C)C;1;0.003;1;0.03
CCCC(C)(C)CC;1;0.003;1;0.03
*C(=O)O[H];3;0.008;3;0.08
*OCN(*)*;1;0.003;1;0.03
